Episodio;Recompensa
1;-36,35
2;-10,9
3;-39,94998
4;-20,45
5;-33,2
6;-31,35
7;-32,29998
8;-23,3
9;-22,55
10;-7,85
11;-10,1
12;-9,499998
13;-9,550002
14;-27,79999
15;-26,84999
16;-10,85
17;-24,7
18;-30,24999
19;-32,54999
20;-31,49999
21;-25,79999
22;-26,19999
23;-7,7
24;-18,65
25;-31,19999
26;-20,4
27;-28,89998
28;-20,25
29;-21
30;-26,25
31;-32,95
32;-22,15
33;-13,24999
34;-23,3
35;-13,7
36;-14,05
37;-23,05
38;-4,500005
39;-3,35
40;-20,9
41;-29,64999
42;-9,05
43;-23,54999
44;-14,05001
45;-23,25
46;-15,25
47;-10,9
48;-21,19999
49;-32,84999
50;-26,64998
51;-17,19999
52;-19,8
53;-12,20001
54;-18,35001
55;-19,6
56;-5,150004
57;-2,45
58;-14,35
59;-17,15
60;-20,75
61;-16,60001
62;-22,99999
63;-20,85
64;2,55
65;-22,84999
66;-11,85001
67;-15,00001
68;-20,54998
69;-19,55
70;-4,5
71;-31,94998
72;-29,5
73;-17,65
74;-19,40001
75;-6,700003
76;-16,60001
77;-7,200002
78;-1,85
79;-6,400001
80;-18,89999
81;-14,00001
82;-15,45001
83;-14,70001
84;-4,750005
85;-16,35001
86;-4,299999
87;-17,6
88;-22,89998
89;-17,85
90;-14,75001
91;-2,999999
92;-5,75
93;-10,65001
94;-17,05
95;-5,299999
96;-9,700006
97;-14,30001
98;-5,5
99;-23,75
100;-15,90001
101;-9,400006
102;-3,649999
103;-7,850011
104;-19
105;-18,9
106;-27,59999
107;-2,050001
108;-6,350001
109;-27,69998
110;-11,7
111;-7,250001
112;-11,90001
113;-21,99998
114;-11,50001
115;-24,85
116;-29,74998
117;-5,800005
118;-15,85001
119;-20,24998
120;-12,90001
121;-18,9
122;-25,34999
123;-15,90001
124;-25,8
125;-19,75
126;-10,2
127;-14,05
128;-7,900006
129;-8,650003
130;-16,90001
131;-3,900002
132;-7,950007
133;-5,5
134;-18,5
135;-23,59999
136;-20,15
137;-16,40001
138;-20,45001
139;-21,2
140;-19,45
141;-33,64999
142;-6,999998
143;-15,80001
144;-4,349999
145;-15,25
146;-12,95001
147;-8,55001
148;-20,9
149;-14,85
150;-21,64999
151;-9,450006
152;-15,5
153;-6,4
154;-22,64999
155;-1,700001
156;-2,65
157;-21,2
158;-18,85
159;-31,74999
160;-14,15
161;1,099997
162;-9,600008
163;-7,550002
164;-18,45001
165;-5,9
166;-8,800009
167;-11,45001
168;3,1
169;-9,95001
170;-12,00001
171;-12,20001
172;-20,2
173;-24,74999
174;-10,55001
175;-20,69999
176;-7,800001
177;-20,69999
178;-15,45001
179;-5,250001
180;-6,000001
181;-9,800002
182;-26,24998
183;0,699996
184;-15,75001
185;-18,3
186;-22,79999
187;-21
188;-9,300007
189;-19,84999
190;-5,4
191;-26,64999
192;-25,64999
193;-11,45001
194;-13,95001
195;-10,25001
196;-25,69999
197;-18,50001
198;-10,35001
199;-8,65001
200;-0,6500025
201;-12,95001
202;-20,45
203;-3,749999
204;-19,7
205;-19,55
206;-17,45001
207;2,15
208;-6,7
209;-11,60001
210;-18,95
211;-11,8
212;-16,90001
213;-15,35001
214;-14,00001
215;-12,5
216;-9,950006
217;-18,30001
218;-2,300001
219;4,65
220;-27,54999
221;5,750001
222;-9,900009
223;-3,25
224;-23,84998
225;-10,8
226;-5,049999
227;-14,9
228;-6,199999
229;-10,50001
230;-4,599999
231;-12,55001
232;-11,50001
233;-6,300001
234;-24,94998
235;-21,19999
236;-9,600009
237;-16,90001
238;-13,65001
239;-22
240;-10,40001
241;-14,05001
242;-4,75
243;-8,850012
244;-17,95
245;-20,5
246;-17,45
247;-11,6
248;-8,100001
249;-16,75
250;-24,85
251;-15,65
252;-18,39998
253;-7,900004
254;1,999999
255;-15,40001
256;-9,50001
257;-10,8
258;-16,70001
259;-2,45
